spellName,"type","tier",categories,"reach","time","duration","effect"
Haprakadyne (SoS VI),Bloom,III,"Movement, Bloom, Pollen, Wind (A)",Any number of targets you become adjacent to during your movement,Default,Instant,"As part of casting this spell, you spend your entire remaining movement allowance for this turn. Hit: MAGd6+5 Wind damage. Place Pollen on your final position, and on the position of each target that took damage from this spell."
Maprakadyne (SoS VI),Bloom,III,"Movement, Bloom, Pollen, Wind (A)",Any number of targets you become adjacent to during your movement,Default,Instant,"As part of casting this spell, you spend your entire remaining movement allowance for this turn. Hit: MAGd4 Wind damage. Place Pollen on your starting position, on the position of each target that took damage from this spell, and the final position after you cast this spell."
"In Mourning, Purple Hyacinth (SoS VI)",Bloom,III,"Blossom, Wind (A)",Any number of unoccupied Pollen spaces,Default,Until the start of your next turn,"Pollen spaces that were unoccupied when you cast this spell cannot be moved into or through until the start of your next turn."
Under the Gaze of the Amaryllis (SoS VI),Bloom,III,"Blossom, Damage (A)",Up to three targets on or adjacent to Pollen spaces,Default,Until the end of each target's next turn,"Affected units gain the following effect: When you deal damage with a basic attack, or a spell without the Pollen Category, you deal +SKL Wind damage, and can spend 1 Energy to place Pollen on the spaces of up to two targets who took damage from that attack or spell."
"To Our Home, in Marigold (SoS VI)",Bloom,V,"Mono, Line, Bloom, Pollen, Mind (A)",One target between you and a point within 4 meters,Default,Instant,"Hit: MAGd12+4 Wind damage and place Pollen on the target's space. After casting this spell, regardless of passing the hit check, move to the chosen point, for no additional action cost, place Pollen on all spaces between you and this point, then place Pollen on your current position."
Triumverate of the Hydrangea (SoS VI),Bloom,V,"Movement, Bloom, Pollen, Wind (A)",Any number of targets you can become adjacent to during your movement,Default,Instant,"As part of casting this spell, you spend your entire remaining movement allowance for this turn. Hit: MAGd8+MAG Wind damage. Place Pollen on your position, then place Pollen in one position for each target who took damage from this spell."
"Thyme, and Fate's Cruelty (SoS VI)",Bloom,V,"Movement, Bloom, Pollen, Wind (A)",Any number of targets you can become adjacent to during your movement,Default,Instant,"As part of casting this spell, you spend your entire remaining movement allowance for this turn. Hit: MAGd6 Wind damage. For every 4 spaces moved while casting this spell, place 1 Pollen onto any space within 5 meters."
Disappear Under a Sea of Crimson Roses (SoS VI),Bloom,V,"Quick, Movement, Death, Wind (A)",Any number of units on Pollen spaces,Quick,Instant,"Targets whose HP are below 20% are instantly slain. This is considered a Wind Type Death Effect. For each unit slain by this effect, you gain +1 Movement Allowance until the end of your turn. Against targets with Hetelic Resistances, this instead deals 5% of the target’s HP as Wind damage, and rolls to hit."
"March Forth, Edelweiss (SoS VI)",Bloom,V,"Blossom, Damage, Wind (A)",Any number of units on Pollen spaces,Default,Until the start of your next turn,"Choose a Type your Active Persona has. Affected units gain the following effect: The next time you take damage from a spell of the chosen Type, increase your Interaction with that Type by one step for that spell."
Vata (SoS VI),Weather,I,"Mono, Weather, Thunder (A)",1 target within 7 meters,Default,Instant,"On hit: MAGd6 Thunder damage and gain 1 Forecast counter."
Havata (SoS VI),Weather,I,"Multi, Weather, Thunder (A)",Up to 3 targets within 7 meters,Default,Instant,"On hit: MAGd4 Thunder damage and gain 1 Forecast counter. If this spell deals damage to at least one target who’s Weak against Thunder, you gain 1 more Forecast counter."
Mavata (SoS VI),Weather,I,"Total, Weather, Thunder (A)",Any number of targets within 7 meters,Default,Instant,"On hit: MAGd4-4 Thunder damage and gain 1 Forecast counter. If your HP is at 100% after you cast this spell, gain 1 more Forecast counter."
Gathering Clouds (SoS VI),Weather,I,"Weather, Quick (A)",Caster,Quick,Until the end of combat,"Spend 3 Forecast counters to apply Weather (Quick): Restore HP equal to your PLv. to yourself."
Strata (SoS VI),Weather,I,"Weather, Quick (A)",Caster,Quick,Instant,"Spend one use of another spell in your deck: Gain 1 Forecast counter."
Vatava (SoS VI),Weather,II,"Mono, Weather, Thunder (A)",1 target within 7 meters,Default,Instant,"On hit: MAGd8 Thunder damage and gain 1 Forecast counter. Critical: Gain 1 more Forecast counter."
Havatava (SoS VI),Weather,II,"Multi, Weather, Thunder (A)",Up to 3 targets within 7 meters,Default,Instant,"On hit: MAGd4+5 Thunder damage and gain 1 Forecast counter. If this spell dealt damage to all chosen targets, you gain 1 more Forecast counter."
Mavatava (SoS VI),Weather,II,"Total, Weather, Thunder (A)",Any number of targets within 7 meters,Default,Instant,"On hit: MAGd4 Thunder damage and gain 1 Forecast counter. If you are not suffering from Status or Debuff effects, you gain 1 more Forecast counter."
Dust Storm (SoS VI),Weather,II,"Weather, Quick (A)",Caster,Quick,Until the end of combat,"Spend 2 Forecast counters. Apply Weather (Default): Gain +1 DDC against the next attack declared against you."
Drought (SoS VI),Weather,II,"Weather (A)",Caster,Default,Until the end of combat,"Spend 2 Forecast counters. Apply Weather (Interrupt): When a Shadow rolls to resist or recover from a Status effect, you can trigger this Weather to force the Shadow to fail that check."
Vatadyne (SoS VI),Weather,III,"Mono, Weather, Thunder (A)",1 target within 7 meters,Default,Instant,"On hit: MAGd10 Thunder damage and gain 1 Forecast counter. If this spell slays its target, gain 1 more Forecast counter."
Havatadyne (SoS VI),Weather,III,"Multi, Weather, Thunder (A)",Up to 3 targets within 7 meters,Default,Instant,"On hit: MAGd6+MAG Thunder damage and gain 1 Forecast counter. If a Weather effect is already active, gain 1 more Forecast counter."
Mavatadyne (SoS VI),Weather,III,"Total, Weather, Thunder (A)",Any number of targets within 7 meters,Default,Instant,"On hit: MAGd4+6 Thunder damage and gain 1 Forecast counter. If you’re the first unit in the initiative queue, gain 1 more Forecast counter."
Undertow (SoS VI),Weather,III,"Weather, Quick (A)",Caster,Quick,Until the end of combat,"Spend 2 Forecast counters. Apply Weather (Interrupt): When a Shadow declares a movement action, you can trigger this Weather to gain extra Movement Allowance equal to half that Shadow’s moved distance, rounded up, for the next movement action you declare."
Blizzard (SoS VI),Weather,III,"Weather (A)",Caster,Default,Until the end of combat,"Spend 3 Forecast counters. This spell sets up a Weather condition with MAG + PLv. HP. Up to two times per turn, when you cast a Weather Category spell after this Weather is set up, you can spend 1 Energy to restore MAG HP to this Weather as a Free action. Weather (Interrupt): When you take damage, you can trigger this Weather to subtract any amount of damage from this spell’s HP pool instead, up to its current HP. If this Weather reaches 0 HP, remove the Weather condition from combat."
Squall Line (SoS VI),Weather,V,"Mono, Weather, Thunder (A)",1 target within 7 meters,Default,Instant,"On hit: MAGd12 Thunder damage and gain 1 Forecast counter. You can spend one Energy to apply the effect of Rakundamon to the target (Fortify Physical & Elements -8 for 3 rounds) after damage calculation."
Devouring Sea Fret (SoS VI),Weather,V,"Multi, Weather, Thunder (A)",Up to 3 targets within 7 meters,Default,Instant,"On hit: MAGd10 + MAG Thunder damage, gain 1 Forecast counter and +1 HDC for the next damage-dealing Weather Category spell you cast (this is not a Buff effect)."
Pulse Storm (SoS VI),Weather,V,"Total, Weather, Thunder (A)",Any number of targets within 7 meters,Default,Instant,"On hit: MAGd10 Thunder damage and gain 1 Forecast counter. If you cast Pulse Storm in your previous turn, gain 1 extra Forecast counter."
Supercell (SoS VI),Weather,V,"Weather, Quick (A)",Caster,Quick,Until the end of combat,"Spend 4 Forecast counters. If there’s already a Tier III or lower Weather in effect, applying this Weather does not remove it. Apply Weather (Quick): Triggering this Weather costs 1 Energy. The next basic attack or Mono Category spell you declare this round deals SKL extra Thunder damage. This damage applies even if the attack misses. This is not a Buff effect."
Heat Lightning (SoS VI),Weather,V,"Weather (A)",Caster,Default,Until the end of combat,"You do not spend Forecast counters to cast this spell, and Weather applied by this spell cannot be activated by the same User in two consecutive turns. Apply Weather (Quick): Triggering this Weather costs 1 Energy: Reduce the duration of all Debuff effects on you by 1 round, or extend the effect of a Buff effect active on you by 1 round."
